epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6022,1.6024,2.47117,1.39231,0.38736,0.21515,0.30995,0.19574,1.35272,2.20274,1.16721,0.000470729,0.000470729,0.000470729
2,86.8414,1.3515,1.4702,1.17742,0.88493,0.4382,0.5093,0.30772,1.39419,1.22077,1.22507,0.000937687,0.000937687,0.000937687
3,129.294,1.32917,1.28621,1.16585,0.85379,0.36911,0.44972,0.27985,1.3608,1.29283,1.22932,0.00139521,0.00139521,0.00139521
4,169.729,1.32367,1.17872,1.17268,0.5639,0.5121,0.4946,0.31827,1.23415,1.08622,1.13985,0.00138656,0.00138656,0.00138656
5,209.924,1.24761,1.05421,1.1364,0.86047,0.59052,0.7028,0.41691,1.2595,0.84576,1.13672,0.00137241,0.00137241,0.00137241
6,249.938,1.24157,0.9915,1.12764,0.682,0.51755,0.61004,0.38987,1.22805,0.87423,1.13446,0.00135826,0.00135826,0.00135826
7,290.255,1.23605,0.94048,1.12914,0.5507,0.58667,0.57569,0.37319,1.24206,0.84299,1.12469,0.00134412,0.00134412,0.00134412
8,332.26,1.24091,0.90312,1.12177,0.68129,0.6009,0.65303,0.39992,1.26747,0.78852,1.13442,0.00132997,0.00132997,0.00132997
9,372.004,1.22616,0.87287,1.11713,0.6339,0.61357,0.63806,0.41723,1.19439,0.77531,1.09812,0.00131582,0.00131582,0.00131582
10,411.995,1.21104,0.84108,1.09821,0.85027,0.59647,0.69975,0.44991,1.18187,0.74209,1.09844,0.00130168,0.00130168,0.00130168
11,452.057,1.19747,0.83929,1.09495,0.7887,0.61217,0.66,0.43326,1.21049,0.75866,1.10686,0.00128753,0.00128753,0.00128753
12,492.92,1.19202,0.80285,1.08951,0.67312,0.62587,0.67318,0.44179,1.21293,0.78197,1.11207,0.00127338,0.00127338,0.00127338
13,534.327,1.18652,0.79018,1.08722,0.92479,0.57731,0.6927,0.44421,1.20425,0.73102,1.1066,0.00125923,0.00125923,0.00125923
14,574.176,1.15963,0.76495,1.08074,0.71155,0.67975,0.68822,0.45016,1.16749,0.70429,1.10144,0.00124509,0.00124509,0.00124509
